Name,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23
DOY,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353
Soy,174.5,1055.5,1098,1355.25,1139.5,1205.5,1252.25,1340,1784.75,1736.25,1708.25,3439.5,5119.75,7659,7729.75,7565.75,6418,4606.75,1878.75,1472.75,1644.5,1371.75,1358.25
Time Shift,1098,1355.25,1139.5,1205.5,1252.25,1340,1784.75,1736.25,1708.25,3439.5,5119.75,7659,7729.75,7565.75,6418,4606.75,1878.75,1472.75,1644.5,1371.75,1358.25,174.5,1055.5
